stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6879,0.0099
0.0,conformal_risk_filter,0.7212,0.0159
0.0,proposed_branch_mechanism,0.7500,0.0194
0.0,oracle_branch_upper_bound,0.8010,0.0179
0.2,scalar_uncertainty_planner,0.6355,0.0113
0.2,conformal_risk_filter,0.6767,0.0136
0.2,proposed_branch_mechanism,0.7231,0.0220
0.2,oracle_branch_upper_bound,0.7810,0.0178
0.4,scalar_uncertainty_planner,0.5836,0.0169
0.4,conformal_risk_filter,0.6357,0.0125
0.4,proposed_branch_mechanism,0.6998,0.0225
0.4,oracle_branch_upper_bound,0.7640,0.0193
0.6,scalar_uncertainty_planner,0.5319,0.0150
0.6,conformal_risk_filter,0.5931,0.0139
0.6,proposed_branch_mechanism,0.6714,0.0224
0.6,oracle_branch_upper_bound,0.7438,0.0196
0.8,scalar_uncertainty_planner,0.4731,0.0105
0.8,conformal_risk_filter,0.5512,0.0147
0.8,proposed_branch_mechanism,0.6469,0.0228
0.8,oracle_branch_upper_bound,0.7243,0.0208
1.0,scalar_uncertainty_planner,0.4133,0.0116
1.0,conformal_risk_filter,0.5038,0.0124
1.0,proposed_branch_mechanism,0.6143,0.0206
1.0,oracle_branch_upper_bound,0.7081,0.0223
